user_id,full_name,email,country,signup_date,subscription_plan,industry,daily_active_minutes
147,Andrew Berg,yhill@gmail.com,Belarus,2025-10-10,Pro,Healthcare,132
148,Heidi Owen,thomascathy@johnson-jones.com,Guyana,2025-02-28,Enterprise,Education,186
149,Amanda Hernandez,nathan19@gmail.com,Malta,2025-02-16,Enterprise,Marketing,84
150,Matthew Wright,fitzgeraldvictor@mcintyre-wilson.com,Romania,2025-04-18,Free,Healthcare,95
151,Logan Benson,davidfarrell@yahoo.com,China,2026-04-05,Pro,Education,96
152,Yolanda Cochran,jenna88@yahoo.com,Uganda,2024-12-25,Enterprise,Finance,215
153,Michelle Ho,william13@young.com,Guyana,2025-07-11,Enterprise,E-commerce,132
154,Julie Bird,jonesraymond@higgins.org,Barbados,2024-08-12,Pro,Healthcare,60
155,Maria Cole,nataliedeleon@hotmail.com,Myanmar,2024-09-25,Pro,Education,245
156,Betty Shaw,holmeskevin@morris.com,Guatemala,2026-05-07,Free,Healthcare,240
157,Diane Miller,david49@davis.org,Cape Verde,2024-09-16,Pro,Finance,121
158,Michelle Jacobs,millerstacy@baker.org,Northern Mariana Islands,2024-05-30,Free,Education,103
159,Mr. Dylan Frye MD,shawn02@yahoo.com,Israel,2025-05-18,Pro,Finance,147
160,Gerald Thomas,theresa25@hotmail.com,Moldova,2024-07-28,Free,Finance,184
161,John Adams,colinroberts@lin-barnes.com,Suriname,2025-01-16,Enterprise,IT,209
162,Michelle Lee,dferrell@koch-jimenez.com,Western Sahara,2025-03-08,Enterprise,IT,174
163,Tracy Lewis,williamstroy@hotmail.com,Peru,2025-05-07,Free,Education,138
164,Adam Rodriguez,jessica65@morales.net,Congo,2025-02-12,Free,IT,140
165,Angel Gordon,andersoncolin@yahoo.com,South Africa,2025-01-25,Free,Education,227
166,Holly Thomas,williamsderrick@yahoo.com,Spain,2025-05-09,Pro,E-commerce,165
167,Brittany Barry,sarah52@ewing-stevenson.com,Namibia,2025-01-23,Pro,IT,266
168,Katrina Burns,xcabrera@yahoo.com,Peru,2024-07-31,Free,Marketing,300
169,Lauren Robles,pbaker@lane.com,Mali,2025-09-07,Free,Finance,27
170,Patricia James,armstrongjackie@smith.biz,Canada,2025-03-23,Enterprise,Marketing,5
171,Jennifer Hampton,thorntonapril@hotmail.com,Greece,2025-10-03,Enterprise,IT,105
172,James Frye,amy49@yahoo.com,Congo,2024-11-14,Pro,Marketing,40
173,Edwin David,janet75@yahoo.com,Guernsey,2025-07-16,Enterprise,Finance,165
174,Rebecca Hill,zhuang@blevins-ballard.com,Armenia,2024-12-16,Enterprise,Education,158
175,Angela Bradshaw,ilewis@yahoo.com,Venezuela,2025-07-17,Enterprise,Finance,214
176,Breanna Gilbert,brentstein@little.com,Isle of Man,2025-01-18,Pro,Marketing,156
177,Ashlee Townsend,richarddonovan@woods-gonzalez.com,Gibraltar,2024-12-14,Enterprise,Healthcare,103
178,Susan Davis,gentrygregory@peck.biz,Solomon Islands,2025-05-26,Pro,E-commerce,199
179,Paul Brennan,smithashley@gmail.com,Vanuatu,2025-01-22,Enterprise,E-commerce,94
180,William Daniels,melissamcdonald@gmail.com,Sudan,2024-08-02,Enterprise,IT,159
181,Nicholas Wong,doylekrystal@craig.biz,Sweden,2025-04-04,Pro,IT,5
182,Angie Caldwell,thomasboyle@green.info,Sao Tome and Principe,2024-11-30,Pro,Finance,112
183,Elizabeth Sharp,desiree30@wilson.net,Uzbekistan,2026-04-02,Pro,IT,169
184,Patricia Vaughn,christina32@yahoo.com,Cape Verde,2025-04-25,Pro,Marketing,231
185,Lisa Perry,kathleenbecker@hotmail.com,Tunisia,2026-01-08,Enterprise,Healthcare,266
186,Jeremy Padilla,brownamy@harris.net,Kenya,2024-08-05,Pro,E-commerce,91
187,Michelle Burns,chavezwilliam@yahoo.com,Monaco,2024-06-20,Enterprise,Education,150
188,Megan Parker,ascott@robinson.com,Mauritania,2024-06-22,Enterprise,E-commerce,176
189,Andrea Peck,robert26@haney-reyes.biz,Honduras,2024-07-08,Free,Healthcare,163
190,Mary Ryan,whiteamanda@hotmail.com,Brunei Darussalam,2025-11-23,Free,Healthcare,80
191,Sandy Avila,inunez@yahoo.com,Marshall Islands,2025-02-25,Free,Education,130
192,Danielle Reed,sharonhardy@gmail.com,Antigua and Barbuda,2026-01-25,Pro,IT,42
193,Lisa Mayer,jamiegarcia@griffin.com,Ecuador,2025-12-03,Pro,Marketing,299
194,Jeffrey Fernandez,williamroberts@johnston.com,Dominica,2024-12-27,Free,E-commerce,201
195,Victoria Boyd,joshua89@hotmail.com,United States Minor Outlying Islands,2024-09-20,Pro,Marketing,129
196,Jessica Simpson,ufloyd@hotmail.com,Israel,2025-03-20,Free,E-commerce,7
197,James Webster,melissaturner@hotmail.com,Cambodia,2026-01-22,Free,Marketing,117
198,Anthony Gutierrez,paulscott@yahoo.com,Oman,2024-07-07,Free,E-commerce,270
199,Sarah Davis,adamsemily@williams.org,Saint Kitts and Nevis,2025-10-10,Pro,Education,290
200,Karen Booth,susan03@gmail.com,Saint Vincent and the Grenadines,2024-08-06,Free,Education,238
